  array size  ( = 2097152) *  size of each item(= 16) = 33554432,   average = 40.000000 
  array size  ( = 2097152) *  size of each item(= 16) = 33554432,   average = 41.000000 
  array size  ( = 2097152) *  size of each item(= 16) = 33554432,   average = 40.000000 
  array size  ( = 2097152) *  size of each item(= 16) = 33554432,   average = 40.000000 
  array size  ( = 2097152) *  size of each item(= 16) = 33554432,   average = 40.000000 
  array size  ( = 2097152) *  size of each item(= 16) = 33554432,   average = 40.000000 
  array size  ( = 2097152) *  size of each item(= 16) = 33554432,   average = 40.000000 
  array size  ( = 2097152) *  size of each item(= 16) = 33554432,   average = 42.000000 
  array size  ( = 2097152) *  size of each item(= 16) = 33554432,   average = 40.000000 
  array size  ( = 4194304) *  size of each item(= 16) = 67108864,   average = 40.000000 
  array size  ( = 4194304) *  size of each item(= 16) = 67108864,   average = 40.000000 
  array size  ( = 4194304) *  size of each item(= 16) = 67108864,   average = 41.000000 
  array size  ( = 4194304) *  size of each item(= 16) = 67108864,   average = 40.000000 
  array size  ( = 4194304) *  size of each item(= 16) = 67108864,   average = 40.000000 
  array size  ( = 4194304) *  size of each item(= 16) = 67108864,   average = 40.000000 
  array size  ( = 4194304) *  size of each item(= 16) = 67108864,   average = 40.000000 
  array size  ( = 4194304) *  size of each item(= 16) = 67108864,   average = 40.000000 
  array size  ( = 4194304) *  size of each item(= 16) = 67108864,   average = 40.000000 
  array size  ( = 4194304) *  size of each item(= 16) = 67108864,   average = 40.000000 
  array size  ( = 8388608) *  size of each item(= 16) = 134217728,   average = 40.000000 
  array size  ( = 8388608) *  size of each item(= 16) = 134217728,   average = 40.000000 
  array size  ( = 8388608) *  size of each item(= 16) = 134217728,   average = 40.000000 
  array size  ( = 8388608) *  size of each item(= 16
